"id_log";"usuario";"data"
"438";"3";"2018-08-27 17:08:00"
"439";"3";"2018-08-27 17:08:00"
"440";"3";"2018-08-27 17:08:00"
"441";"3";"2018-08-27 17:08:00"
"442";"4";"2018-08-27 18:08:00"
"443";"4";"2018-08-27 18:08:00"
"444";"4";"2018-08-27 18:08:00"
"445";"4";"2018-08-27 18:08:00"
"446";"4";"2018-08-27 18:08:00"
"447";"4";"2018-08-27 18:08:00"
"448";"4";"2018-08-28 13:08:00"
"449";"4";"2018-08-28 13:08:00"
"450";"4";"2018-08-28 13:08:00"
"451";"4";"2018-08-28 13:08:00"
"452";"4";"2018-08-28 13:08:00"
"453";"4";"2018-08-28 13:08:00"
"454";"4";"2018-08-28 13:08:00"
"455";"4";"2018-08-28 13:08:00"
"456";"4";"2018-08-28 13:08:00"
"457";"4";"2018-08-28 13:08:00"
"458";"4";"2018-08-28 13:08:00"
"459";"4";"2018-08-28 13:08:00"
"460";"4";"2018-08-28 13:08:00"
"461";"4";"2018-08-28 13:08:00"
"462";"4";"2018-08-28 13:08:00"
"463";"4";"2018-08-28 13:08:00"
"464";"4";"2018-08-28 13:08:00"
"465";"4";"2018-08-28 13:08:00"
"466";"4";"2018-08-28 13:08:00"
"467";"4";"2018-08-28 13:08:00"
"468";"4";"2018-08-28 13:08:00"
"469";"3";"2018-08-28 15:08:00"
"470";"3";"2018-08-28 15:08:00"
"471";"3";"2018-08-28 15:08:00"
"472";"3";"2018-08-28 15:08:00"
"473";"3";"2018-08-28 15:08:00"
"474";"3";"2018-08-28 15:08:00"
"475";"3";"2018-08-28 15:08:00"
"476";"4";"2018-08-28 16:08:00"
"477";"4";"2018-08-28 16:08:00"
"478";"4";"2018-08-28 17:08:00"
"479";"4";"2018-08-28 17:08:00"
"480";"4";"2018-08-28 17:08:00"
"481";"4";"2018-08-28 17:08:00"
"482";"4";"2018-08-28 17:08:00"
"483";"4";"2018-08-28 17:08:00"
"484";"4";"2018-08-28 17:08:00"
"485";"4";"2018-08-28 17:08:00"
"486";"4";"2018-08-28 17:08:00"
"487";"4";"2018-08-28 17:08:00"
"488";"4";"2018-08-28 17:08:00"
"489";"4";"2018-08-28 17:08:00"
"490";"4";"2018-08-28 17:08:00"
"491";"4";"2018-08-28 17:08:00"
"492";"4";"2018-08-28 17:08:00"
"493";"4";"2018-08-28 17:08:00"
"494";"4";"2018-08-28 17:08:00"
"495";"4";"2018-08-28 17:08:00"
"496";"3";"2018-08-29 12:08:00"
"497";"3";"2018-08-29 12:08:00"
"498";"3";"2018-08-29 12:08:00"
"499";"3";"2018-08-29 12:08:00"
"500";"3";"2018-08-29 12:08:00"
"501";"3";"2018-08-29 12:08:00"
"502";"3";"2018-08-29 12:08:00"
"503";"3";"2018-08-29 12:08:00"
"504";"3";"2018-08-29 12:08:00"
"505";"3";"2018-08-29 12:08:00"
"506";"3";"2018-08-29 12:08:00"
"507";"3";"2018-08-29 12:08:00"
"508";"3";"2018-08-29 13:08:00"
"509";"3";"2018-08-29 13:08:00"
"510";"3";"2018-08-29 13:08:00"
"511";"3";"2018-08-29 13:08:00"
"512";"3";"2018-08-29 13:08:00"
"513";"3";"2018-08-29 13:08:00"
"514";"3";"2018-08-29 13:08:00"
"515";"3";"2018-08-29 13:08:00"
"516";"3";"2018-08-29 13:08:00"
"517";"3";"2018-08-29 13:08:00"
"518";"3";"2018-08-29 13:08:00"
"519";"3";"2018-08-29 13:08:00"
"520";"3";"2018-08-29 13:08:00"
"521";"3";"2018-08-29 13:08:00"
"522";"3";"2018-08-29 13:08:00"
"523";"3";"2018-08-29 13:08:00"
"524";"3";"2018-08-29 13:08:00"
"525";"3";"2018-08-29 13:08:00"
"526";"3";"2018-08-29 13:08:00"
"527";"3";"2018-08-29 13:08:00"
"528";"3";"2018-08-29 13:08:00"
"529";"3";"2018-08-29 13:08:00"
"530";"3";"2018-08-29 13:08:00"
"531";"3";"2018-08-29 13:08:00"
"532";"3";"2018-08-29 13:08:00"
"533";"3";"2018-08-29 13:08:00"
"534";"3";"2018-08-29 13:08:00"
"535";"3";"2018-08-29 13:08:00"
"536";"3";"2018-08-29 13:08:00"
"537";"3";"2018-08-29 13:08:00"
"538";"3";"2018-08-29 13:08:00"
"539";"3";"2018-08-29 14:08:00"
"540";"3";"2018-08-29 14:08:00"
"541";"3";"2018-08-29 14:08:00"
"542";"3";"2018-08-29 14:08:00"
"543";"3";"2018-08-29 14:08:00"
"544";"3";"2018-08-29 14:08:00"
