"idpedido";"titulo";"vencimento";"tipo_pagamento";"data_compra";"pagamento";"valorbruto";"valorliquid";"saldo";"parcela";"idclientes";"idcolaborador"
"575";"DFAB28E";"2018-07-21";"DIN";"2018-07-21";"2018-07-21";"179.8";"179.8";"0";"0";"408";"4"
"576";"B959069";"2018-07-21";"CRD";"2018-07-21";"0000-00-00";"418.5";"418.5";"118.5";"1";"463";"4"
"577";"1B14BB9";"2018-07-21";"CRD";"2018-07-21";"0000-00-00";"109.8";"109.8";"102.5";"1";"314";"4"
"578";"B56BF24";"2018-07-21";"CRD";"2018-07-21";"0000-00-00";"82.8";"82.8";"0";"1";"396";"4"
"579";"31C8897";"2018-07-24";"CRD";"2018-07-24";"0000-00-00";"89.9";"89.9";"34.2";"1";"11";"4"
"580";"2EE6F2A";"2018-07-25";"CRE";"2018-07-25";"0000-00-00";"142.8";"142.8";"0";"1";"464";"3"
"581";"04FA798";"2018-07-25";"CRD";"2018-07-25";"0000-00-00";"419.4";"409";"59";"1";"33";"3"
"582";"9F439C6";"2018-07-26";"CRE";"2018-07-26";"0000-00-00";"425.7";"390.7";"0";"1";"465";"4"
"583";"7AE1D03";"2018-07-26";"DIN";"2018-07-26";"2018-07-26";"39.9";"39.9";"0";"0";"394";"4"
"584";"837250B";"2018-07-26";"CRD";"2018-07-26";"0000-00-00";"49.9";"49.9";"4.9";"1";"316";"4"
"585";"CE84D4A";"2018-07-26";"CRD";"2018-07-26";"0000-00-00";"244.7";"244.7";"44.7";"1";"166";"4"
"586";"3A9D409";"2018-08-26";"DIN";"2018-07-26";"0000-00-00";"144.8";"140";"0";"0";"466";"4"
"587";"474D7CA";"2018-07-26";"DIN";"2018-07-26";"2018-07-26";"29.9";"29.9";"0";"0";"394";"4"
"588";"74101E3";"2018-07-26";"CRD";"2018-07-26";"0000-00-00";"49.9";"49.9";"39.9";"1";"29";"4"
"589";"FF3E913";"2018-07-26";"CRD";"2018-07-26";"0000-00-00";"89.9";"89.9";"89.9";"1";"106";"4"
"590";"1543442";"2018-07-27";"CRD";"2018-07-27";"0000-00-00";"694";"694";"694";"1";"106";"3"
"591";"4C753E6";"2018-07-27";"CRD";"2018-07-27";"0000-00-00";"344.6";"344.6";"0";"1";"311";"3"
"592";"FDAD5A9";"2018-07-27";"CRD";"2018-07-27";"0000-00-00";"75.8";"68.9";"68.9";"1";"27";"3"
"593";"C22B662";"2018-07-27";"CRD";"2018-07-27";"0000-00-00";"444.2";"444.2";"0";"1";"467";"4"
"594";"E6061BF";"2018-07-28";"CRD";"2018-07-28";"0000-00-00";"54.9";"54.9";"54.9";"1";"102";"4"
"595";"AD1FC45";"2018-07-31";"DIN";"2018-07-31";"2018-07-31";"109.8";"100";"0";"0";"158";"4"
"596";"3C9772D";"2018-07-31";"CRD";"2018-07-31";"0000-00-00";"0";"-10";"-109.8";"1";"0";"3"
"597";"EA11B54";"2018-07-31";"CRD";"2018-07-31";"0000-00-00";"109.8";"99.8";"0";"1";"108";"3"
"598";"A9726B2";"2018-07-31";"CRD";"2018-07-31";"0000-00-00";"454.2";"429.3";"0";"1";"94";"4"
"599";"A745DE5";"2018-07-31";"DIN";"2018-07-31";"2018-07-31";"59.8";"50";"0";"0";"258";"4"
"600";"74C165B";"2018-07-31";"CRD";"2018-07-31";"0000-00-00";"476.6";"430";"370";"1";"8";"4"
"601";"97B41FD";"2018-08-01";"CRD";"2018-08-01";"0000-00-00";"94.9";"94.9";"94.9";"1";"51";"4"
"602";"A12A1F2";"2018-08-01";"CRE";"2018-08-01";"0000-00-00";"89.9";"89.9";"0";"1";"324";"4"
"603";"A7D9A9C";"2018-08-01";"DEB";"2018-08-01";"2018-08-01";"142.6";"142.6";"0";"0";"0";"0"
"604";"D8AE7E6";"2018-08-01";"DEB";"2018-08-01";"2018-08-01";"142.6";"142.6";"0";"0";"108";"4"
"605";"4B4555A";"2018-08-02";"CRD";"2018-08-02";"0000-00-00";"54.9";"54.9";"54.9";"1";"106";"4"
"606";"871E6AF";"2018-08-02";"CRD";"2018-08-02";"0000-00-00";"295.5";"295.5";"155.6";"1";"160";"4"
"607";"C2608D0";"2018-08-02";"CRD";"2018-08-02";"0000-00-00";"42.9";"42.9";"42.9";"1";"164";"4"
"608";"28053D7";"2018-08-03";"CRD";"2018-08-03";"0000-00-00";"189.7";"189.7";"185.6";"1";"237";"4"
"609";"AB6BF38";"2018-08-04";"CRD";"2018-08-04";"0000-00-00";"279.6";"279.6";"219.3";"1";"415";"4"
"610";"8C1A488";"2018-08-04";"CRE";"2018-08-04";"0000-00-00";"99.8";"85";"0";"1";"468";"4"
"611";"5BD522E";"2018-08-04";"CRD";"2018-08-04";"0000-00-00";"565.3";"565.3";"565.3";"1";"368";"4"
"612";"A41ABF8";"2018-08-04";"CRD";"2018-08-04";"0000-00-00";"1088";"1088";"88.6";"1";"304";"4"
"613";"3EB9B21";"2018-08-04";"CRD";"2018-08-04";"0000-00-00";"389.9";"350";"0";"1";"224";"4"
"614";"5D23865";"2018-08-04";"CRD";"2018-08-04";"0000-00-00";"700";"600";"506.9";"1";"299";"4"
"615";"04B8A2D";"2018-08-05";"CRD";"2018-08-05";"0000-00-00";"349.5";"349.5";"349.5";"1";"160";"3"
"616";"65A4CCF";"2018-08-05";"CRD";"2018-08-05";"0000-00-00";"143.7";"143.7";"135.4";"1";"191";"3"
"617";"248AE55";"2018-08-05";"CRD";"2018-08-05";"0000-00-00";"129.8";"129.8";"129.8";"1";"469";"3"
"618";"AFB8503";"2018-08-05";"DEB";"2018-08-05";"2018-08-05";"79.9";"49.9";"0";"0";"134";"3"
"619";"F9F5F24";"2018-08-06";"CRD";"2018-08-06";"0000-00-00";"1864.4";"1628.6";"1208.7";"1";"87";"3"
"620";"8CA3FF9";"2018-08-06";"CRD";"2018-08-06";"0000-00-00";"69.9";"69.9";"69.9";"1";"96";"3"
"621";"24EEB0E";"2018-08-06";"CRD";"2018-08-06";"0000-00-00";"195.6";"195.6";"0";"1";"124";"3"
"622";"3CA7732";"2018-08-06";"CRD";"2018-08-06";"0000-00-00";"377.9";"358";"267.8";"1";"260";"3"
"623";"4244138";"2018-08-06";"CRD";"2018-08-06";"0000-00-00";"194.7";"194.7";"148.5";"1";"281";"3"
"624";"85E57D8";"2018-08-06";"CRD";"2018-08-06";"0000-00-00";"0";"0";"0";"1";"0";"3"
"625";"A3BAE40";"2018-08-06";"CRD";"2018-08-06";"0000-00-00";"313.7";"313.7";"163.7";"1";"470";"4"
"626";"41DF432";"2018-08-06";"CRD";"2018-08-06";"0000-00-00";"308.5";"300";"291.3";"1";"460";"4"
"627";"87A6FAC";"2018-08-06";"CRD";"2018-08-06";"0000-00-00";"39.9";"39.9";"39.9";"1";"470";"4"
"628";"1F6980D";"2018-08-06";"CRD";"2018-08-06";"0000-00-00";"251.8";"251.8";"251.8";"1";"87";"4"
"629";"E186706";"2018-08-06";"CRD";"2018-08-06";"0000-00-00";"661.1";"599.3";"599.3";"1";"165";"3"
"630";"0E3B5CD";"2018-08-06";"CRD";"2018-08-06";"0000-00-00";"144.8";"144.8";"144.8";"1";"165";"3"
"631";"BE5B0DB";"2018-08-07";"CRD";"2018-08-07";"0000-00-00";"329.6";"299.6";"299.6";"1";"272";"3"
"632";"A8C8D4F";"2018-08-07";"CRD";"2018-08-07";"0000-00-00";"119.8";"119.8";"119.8";"1";"256";"4"
"633";"6818123";"2018-08-07";"CRD";"2018-08-07";"0000-00-00";"329.6";"329.6";"329.6";"1";"369";"4"
"634";"4E58FF6";"2018-08-07";"CRD";"2018-08-07";"0000-00-00";"62.8";"50";"0";"1";"354";"4"
"635";"CB5D1B1";"2018-08-07";"CRD";"2018-08-07";"0000-00-00";"136.6";"109";"0";"1";"347";"4"
"636";"C17AA04";"2018-08-07";"CRD";"2018-08-07";"0000-00-00";"439.5";"439.5";"69.5";"1";"194";"4"
"637";"00F8813";"2018-08-07";"CRD";"2018-08-07";"0000-00-00";"49.9";"49.9";"49.9";"1";"166";"4"
"638";"CD59F7C";"2018-08-07";"CRD";"2018-08-07";"0000-00-00";"0";"0";"0";"1";"0";"0"
"639";"01E8B1E";"2018-08-07";"DEB";"2018-08-07";"2018-08-07";"119.9";"119.9";"0";"0";"394";"3"
"640";"B28AEC3";"2018-08-07";"CRD";"2018-08-07";"0000-00-00";"993.1";"993.1";"883.8";"1";"310";"4"
"641";"7DC5E6B";"2018-08-07";"CRD";"2018-08-07";"0000-00-00";"59.9";"59.9";"59.9";"1";"281";"3"
"642";"4DE5CBC";"2018-08-08";"CRD";"2018-08-08";"0000-00-00";"69.9";"69.9";"0";"1";"372";"4"
"643";"B166E44";"2018-08-08";"CRD";"2018-08-08";"0000-00-00";"398.5";"398.5";"234.1";"1";"300";"4"
"644";"3D41C11";"2018-08-08";"CRD";"2018-08-08";"0000-00-00";"379.5";"379.5";"279.5";"1";"462";"4"
"646";"E1DAB1D";"2018-08-08";"CRD";"2018-08-08";"0000-00-00";"486.1";"486.1";"486.1";"1";"11";"4"
"647";"5AD4894";"2018-08-09";"CRD";"2018-08-09";"0000-00-00";"0";"-113.5";"-113.5";"1";"0";"0"
"648";"90DAAE1";"2018-08-09";"CRD";"2018-08-09";"0000-00-00";"453.5";"340";"0";"1";"348";"4"
"649";"FA19609";"2018-08-09";"DEB";"2018-08-09";"2018-08-09";"32.9";"32.9";"0";"0";"408";"3"
"650";"92D3D48";"2018-08-09";"CRD";"2018-08-09";"0000-00-00";"109.8";"109.8";"109.8";"1";"129";"4"
"651";"5A42032";"2018-08-09";"CRD";"2018-08-09";"0000-00-00";"109.7";"109.7";"0";"1";"346";"4"
"652";"5727771";"2018-08-09";"CRD";"2018-08-09";"0000-00-00";"149.9";"149.9";"24.9";"1";"335";"4"
"653";"D85E5D6";"2018-08-09";"CRD";"2018-08-09";"0000-00-00";"469.6";"469.6";"109.5";"1";"82";"4"
"654";"43BD0F4";"2018-08-09";"CRD";"2018-08-09";"0000-00-00";"119.8";"119.8";"119.8";"1";"407";"4"
"655";"DF24307";"2018-08-09";"CRD";"2018-08-09";"0000-00-00";"219.7";"209.8";"209.8";"1";"320";"4"
"656";"4671780";"2018-08-10";"DIN";"2018-08-10";"2018-08-10";"299.4";"250";"0";"0";"198";"3"
"657";"73C51A7";"2018-08-10";"CRE";"2018-08-10";"0000-00-00";"39.9";"39.9";"39.9";"1";"457";"3"
"658";"9A9EC19";"2018-08-10";"CRD";"2018-08-10";"0000-00-00";"199.8";"199.8";"199.8";"1";"30";"4"
"659";"049BD73";"2018-08-10";"CRD";"2018-08-10";"0000-00-00";"99.8";"99.8";"0";"1";"197";"4"
"660";"2B4C0B7";"2018-08-10";"CRD";"2018-08-10";"0000-00-00";"109.9";"109.9";"109.9";"1";"106";"4"
"661";"A2AB663";"2018-08-10";"CRD";"2018-08-10";"0000-00-00";"39.9";"39.9";"0";"1";"205";"4"
"662";"D3B6E01";"2018-08-10";"CRD";"2018-08-10";"0000-00-00";"159.7";"159.7";"159.7";"1";"319";"4"
"663";"6EBF06E";"2018-08-10";"CRD";"2018-08-10";"0000-00-00";"32.9";"32.9";"32.9";"1";"319";"4"
"664";"6222A9D";"2018-08-10";"CRD";"2018-08-10";"0000-00-00";"109.7";"88";"0";"1";"163";"4"
"665";"E839E9B";"2018-08-10";"CRD";"2018-08-10";"0000-00-00";"69.9";"69.9";"69.9";"1";"106";"4"
"666";"A52B41B";"2018-08-11";"CRD";"2018-08-11";"0000-00-00";"459.9";"459.9";"459.9";"1";"11";"4"
"667";"19F2210";"2018-08-11";"CRD";"2018-08-11";"0000-00-00";"978.6";"967.7";"587.7";"1";"472";"4"
"668";"2ABCA8E";"2018-08-11";"CRD";"2018-08-11";"0000-00-00";"179.6";"179.6";"59.7";"1";"451";"4"
"669";"255D609";"2018-08-11";"CRD";"2018-08-11";"0000-00-00";"39.9";"39.9";"39.9";"1";"49";"4"
"670";"EE8DEBF";"2018-08-11";"CRD";"2018-08-11";"0000-00-00";"0";"0";"0";"1";"0";"4"
"671";"0B358C8";"2018-08-11";"CRD";"2018-08-11";"0000-00-00";"419.9";"419.9";"419.9";"1";"82";"4"
"672";"9BBFE91";"2018-08-11";"CRD";"2018-08-11";"0000-00-00";"69.8";"69.8";"69.8";"1";"162";"4"
"673";"B9AE525";"2018-08-11";"CRD";"2018-08-11";"0000-00-00";"0";"0";"0";"1";"0";"0"
"674";"17D7740";"2018-08-11";"CRD";"2018-08-11";"0000-00-00";"349.3";"349.3";"279.1";"1";"449";"3"
"675";"A069C0E";"2018-08-11";"CRD";"2018-08-11";"0000-00-00";"209.7";"209.7";"109.7";"1";"130";"3"
"676";"B5F25F9";"2018-08-11";"DEB";"2018-08-11";"2018-08-11";"89.9";"89.9";"0";"0";"473";"4"
"677";"E024C1E";"2018-08-11";"CRD";"2018-08-11";"0000-00-00";"209.3";"175";"175";"1";"165";"3"
"678";"536FBA1";"2018-08-11";"DIN";"2018-08-11";"2018-08-11";"36.9";"36";"0";"0";"292";"3"
"679";"DA159FE";"2018-08-11";"CRE";"2018-08-11";"0000-00-00";"184.8";"184.8";"0";"1";"44";"4"
"680";"ACF3960";"2018-08-11";"CRD";"2018-08-11";"0000-00-00";"229.7";"229.7";"229.7";"1";"335";"4"
"681";"D09257A";"2018-08-11";"CRE";"2018-08-11";"0000-00-00";"0";"0";"-159.8";"1";"0";"0"
"682";"9F04F97";"2018-08-11";"CRE";"2018-08-11";"0000-00-00";"159.8";"159.8";"0";"1";"108";"4"
"683";"ACD1356";"2018-08-11";"CRD";"2018-08-11";"0000-00-00";"975";"965.1";"965.1";"1";"312";"4"
"684";"D460338";"2018-08-11";"CRD";"2018-08-11";"0000-00-00";"189.5";"189.5";"39.5";"1";"133";"3"
