"id_caixa";"tipo_caixa";"titulo";"valor";"id_colaborador";"idcliente";"data_caixa"
"245";"SANGRIA";NULL;"245.00";"3";NULL;"2018-07-30 00:00:00"
"246";"DEB";NULL;"49.90";"3";"245";"2018-07-30 00:00:00"
"247";"ABERTURA CAIXA";NULL;"0.00";"3";NULL;"2018-07-31 00:00:00"
"248";"ABERTURA CAIXA";NULL;"0.00";"3";NULL;"2018-07-31 00:00:00"
"249";"DEB";NULL;"69.90";"3";"311";"2018-07-31 00:00:00"
"250";"DIN";NULL;"100.00";"3";"451";"2018-07-31 00:00:00"
"251";"DEB";NULL;"295.00";"3";"158";"2018-07-31 00:00:00"
"252";"DIN";"AD1FC45";"100.00";"4";NULL;"2018-07-31 00:00:00"
"253";"CRE";"3C9772D";"99.80";"3";"0";"2018-07-31 00:00:00"
"254";"CRE";"EA11B54";"99.80";"3";"108";"2018-07-31 00:00:00"
"255";"DIN";"A745DE5";"50.00";"4";NULL;"2018-07-31 00:00:00"
"256";"DIN";NULL;"150.00";"4";"94";"2018-07-31 00:00:00"
"257";"DEB";NULL;"89.90";"4";"8";"2018-07-31 00:00:00"
"258";"SANGRIA";NULL;"400.00";"4";NULL;"2018-07-31 00:00:00"
"259";"ABERTURA CAIXA";NULL;"0.00";"3";NULL;"2018-08-01 00:00:00"
"260";"ABERTURA CAIXA";NULL;"0.00";"3";NULL;"2018-08-01 00:00:00"
"261";"DIN";NULL;"100.00";"4";"310";"2018-08-01 00:00:00"
"262";"CRE";"A12A1F2";"89.90";"4";"324";"2018-08-01 00:00:00"
"263";"DEB";"A7D9A9C";"142.60";"0";NULL;"2018-08-01 00:00:00"
"264";"DEB";"D8AE7E6";"142.60";"4";NULL;"2018-08-01 00:00:00"
"265";"ABERTURA CAIXA";NULL;"100.00";"4";NULL;"2018-08-02 00:00:00"
"266";"DIN";NULL;"47.90";"4";"87";"2018-08-02 00:00:00"
"267";"DEB";NULL;"150.00";"3";"182";"2018-08-02 00:00:00"
"268";"DEB";NULL;"130.00";"3";"165";"2018-08-02 00:00:00"
"269";"DIN";NULL;"250.00 ";"4";"274";"2018-08-02 00:00:00"
"270";"DIN";NULL;"70.00";"4";"106";"2018-08-02 00:00:00"
"271";"DIN";NULL;"250.00";"4";"164";"2018-08-02 00:00:00"
"272";"DIN";NULL;"80.00";"4";"349";"2018-08-02 00:00:00"
"273";"SANGRIA";NULL;"797.90";"4";NULL;"2018-08-02 00:00:00"
"274";"ABERTURA CAIXA";NULL;"0.00";"4";NULL;"2018-08-03 00:00:00"
"275";"ABERTURA CAIXA";NULL;"0.00";"4";NULL;"2018-08-04 00:00:00"
"276";"DIN";NULL;"150.00";"4";"415";"2018-08-04 00:00:00"
"277";"CRE";"8C1A488";"85.00";"4";"468";"2018-08-04 00:00:00"
"278";"DIN";NULL;"50.00";"4";"304";"2018-08-04 00:00:00"
"279";"DIN";NULL;"34.00";"4";"304";"2018-08-04 00:00:00"
"280";"DIN";NULL;"200.00";"4";"304";"2018-08-04 00:00:00"
"281";"DIN";NULL;"100.00";"3";"95";"2018-08-04 00:00:00"
"282";"SANGRIA";NULL;"534.00";"3";NULL;"2018-08-04 00:00:00"
"283";"ABERTURA CAIXA";NULL;"0.00";"3";NULL;"2018-08-05 00:00:00"
"284";"DEB";"AFB8503";"49.90";"3";NULL;"2018-08-05 00:00:00"
"285";"ABERTURA CAIXA";NULL;"0.00";"3";NULL;"2018-08-06 00:00:00"
"286";"DIN";NULL;"100.00";"3";"463";"2018-08-06 00:00:00"
"287";"DIN";NULL;"100.00";"3";"281";"2018-08-06 00:00:00"
"288";"DEB";NULL;"200.00";"3";"460";"2018-08-06 00:00:00"
"289";"DEB";NULL;"69.90";"3";"87";"2018-08-06 00:00:00"
"290";"SANGRIA";NULL;"200.00";"4";NULL;"2018-08-06 00:00:00"
"291";"ABERTURA CAIXA";NULL;"0.00";"3";NULL;"2018-08-07 00:00:00"
"292";"DIN";NULL;"200.00";"3";"272";"2018-08-07 00:00:00"
"293";"DEB";NULL;"79.90";"3";"256";"2018-08-07 00:00:00"
"294";"SANGRIA";NULL;"100.00";"4";NULL;"2018-08-07 00:00:00"
"295";"DIN";"C17AA04";"100.00";"4";"194";"2018-08-07 00:00:00"
"296";"DEB";"01E8B1E";"119.90";"3";"394";"2018-08-07 00:00:00"
"297";"SANGRIA";NULL;"200.00";"3";NULL;"2018-08-07 00:00:00"
"298";"DIN";NULL;"120.00";"4";"225";"2018-08-07 00:00:00"
"299";"DIN";NULL;"100.00";"4";"234";"2018-08-07 00:00:00"
"300";"DIN";NULL;"72.00";"4";"226";"2018-08-07 00:00:00"
"301";"SANGRIA";NULL;"270.00";"4";NULL;"2018-08-07 00:00:00"
"302";"ABERTURA CAIXA";NULL;"22.00";"3";NULL;"2018-08-08 00:00:00"
"303";"ABERTURA CAIXA";NULL;"22.00";"3";NULL;"2018-08-08 00:00:00"
"304";"DIN";NULL;"69.90";"3";"242";"2018-08-08 00:00:00"
"305";"DIN";NULL;"150";"3";"31";"2018-08-08 00:00:00"
"306";"DIN";NULL;"40.00";"3";"466";"2018-08-08 00:00:00"
"307";"SANGRIA";NULL;"303.90";"3";NULL;"2018-08-08 00:00:00"
"308";"DIN";NULL;"179.80";"4";"372";"2018-08-08 00:00:00"
"309";"DIN";NULL;"139.80";"4";"147";"2018-08-08 00:00:00"
"310";"DIN";NULL;"100.00";"4";"462";"2018-08-08 00:00:00"
"311";"DIN";"3D41C11";"100.00";"4";"462";"2018-08-08 00:00:00"
"312";"DIN";NULL;"250.00";"4";"11";"2018-08-08 00:00:00"
"313";"CRE";NULL;"248.10";"4";"102";"2018-08-08 00:00:00"
"314";"SANGRIA";NULL;"300.00";"4";NULL;"2018-08-08 00:00:00"
"315";"ABERTURA CAIXA";NULL;"80.00";"3";NULL;"2018-08-09 00:00:00"
"316";"EXTORNO";"BB6ECCF";"379.5";"3";NULL;"2018-08-09 00:00:00"
"317";"DIN";NULL;"200.00";"3";"313";"2018-08-09 00:00:00"
"318";"DEB";NULL;"300.00";"3";"165";"2018-08-09 00:00:00"
"319";"DEB";NULL;"89.90";"3";"348";"2018-08-09 00:00:00"
"320";"DIN";NULL;"250.00";"3";"348";"2018-08-09 00:00:00"
"321";"DIN";NULL;"100.00";"4";"315";"2018-08-09 00:00:00"
"322";"DEB";"FA19609";"32.90";"3";"408";"2018-08-09 00:00:00"
"323";"SANGRIA";NULL;"630.00";"3";NULL;"2018-08-09 00:00:00"
"324";"DIN";NULL;"150.00";"4";"129";"2018-08-09 00:00:00"
"325";"DEB";NULL;"164.60";"4";"346";"2018-08-09 00:00:00"
"326";"DEB";NULL;"202.40";"3";"49";"2018-08-09 00:00:00"
"327";"DIN";NULL;"100.00";"3";"366";"2018-08-09 00:00:00"
"328";"DIN";NULL;"100.00";"4";"224";"2018-08-09 00:00:00"
"329";"DIN";NULL;"150.00";"4";"319";"2018-08-09 00:00:00"
"330";"DEB";NULL;"92.10";"4";"113";"2018-08-09 00:00:00"
"331";"DIN";NULL;"150.00";"4";"320";"2018-08-09 00:00:00"
"332";"DIN";NULL;"150.00";"4";"407";"2018-08-09 00:00:00"
"333";"ABERTURA CAIXA";NULL;"700.00";"3";NULL;"2018-08-10 00:00:00"
"334";"DEB";NULL;"200.00";"3";"165";"2018-08-10 00:00:00"
"335";"DIN";NULL;"200.00";"3";"311";"2018-08-10 00:00:00"
"336";"DIN";NULL;"60.00";"3";"396";"2018-08-10 00:00:00"
"337";"DIN";NULL;"200.00";"3";"264";"2018-08-10 00:00:00"
"338";"DIN";NULL;"200.00";"3";"337";"2018-08-10 00:00:00"
"339";"DIN";NULL;"39.90";"3";"352";"2018-08-10 00:00:00"
"340";"DIN";NULL;"50.00";"3";"104";"2018-08-10 00:00:00"
